Mittel über Runs Branch Coverage
Funktion,Run_1,Run_2,Run_3,Mittel,Std
cJSON_Compare,81.25,79.17,81.25,80.56,1.20
cJSON_Minify,91.67,91.67,75.00,86.11,9.62
compare_pointers,0.00,0.00,0.00,0.00,0.00
csv_clear_row,70.00,70.00,60.00,66.67,5.77
csv_get_field,91.67,91.67,91.67,91.67,0.00
csv_get_height,n/a,n/a,n/a,n/a,n/a
csv_insert_field,83.33,83.33,83.33,83.33,0.00
csv_remove_row,100.00,100.00,100.00,100.00,0.00
csv_set_field,0.00,0.00,0.00,0.00,0.00
parse_hex4,81.25,81.25,93.75,85.42,7.22
parse_number,72.00,72.00,72.00,72.00,0.00
parse_string,61.11,69.44,63.89,64.81,4.24
