Mittel über Runs Compilation Error
Funktion,Run_1,Run_2,Run_3,Mittel,Std
cJSON_Compare,0.00,0.00,0.00,0.00,0.00
cJSON_Minify,0.00,0.00,0.00,0.00,0.00
compare_pointers,100.00,100.00,100.00,100.00,0.00
csv_clear_row,0.00,0.00,0.00,0.00,0.00
csv_get_field,0.00,0.00,0.00,0.00,0.00
csv_get_height,0.00,0.00,0.00,0.00,0.00
csv_insert_field,0.00,0.00,0.00,0.00,0.00
csv_remove_row,0.00,0.00,0.00,0.00,0.00
csv_set_field,0.00,0.00,0.00,0.00,0.00
parse_hex4,0.00,0.00,0.00,0.00,0.00
parse_number,100.00,100.00,100.00,100.00,0.00
parse_string,100.00,100.00,100.00,100.00,0.00
