,Lines Executed,Lines,Branches Executed,Branches,Compile Errors,Linker Errors,Runtime Errors,Assertion Errors,Passes
cJSON_Compare,39.0,52.0,33.0,48.0,0.0,0.0,0.0,0.0,5.0
cJSON_Minify,23.0,24.0,11.0,12.0,0.0,0.0,0.0,0.0,5.0
compare_pointers,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
parse_hex4,14.0,14.0,13.0,16.0,0.0,0.0,0.0,0.0,5.0
parse_number,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
parse_string,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
== cJSON (Summe) ==,76.0,90.0,57.0,76.0,3.0,3.0,0.0,0.0,15.0
csv_clear_row,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
csv_get_field,14.0,16.0,10.0,12.0,0.0,0.0,2.0,2.0,3.0
csv_get_height,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
csv_insert_field,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
csv_remove_row,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
csv_set_field,6.0,8.0,4.0,6.0,0.0,0.0,0.0,0.0,5.0
== CSV (Summe) ==,22.0,26.0,14.0,18.0,0.0,0.0,5.0,2.0,13.0
== Alle Funktionen (Summe) ==,98.0,116.0,71.0,94.0,3.0,3.0,5.0,2.0,28.0
