Mittel über Runs Branch Coverage
Funktion,Run_1,Run_2,Run_3,Mittel,Std
cJSON_Compare,68.75,68.75,68.75,68.75,0.00
cJSON_Minify,91.67,91.67,91.67,91.67,0.00
compare_pointers,0.00,0.00,0.00,0.00,0.00
csv_clear_row,0.00,0.00,0.00,0.00,0.00
csv_get_field,83.33,83.33,83.33,83.33,0.00
csv_get_height,n/a,n/a,n/a,n/a,n/a
csv_insert_field,0.00,0.00,0.00,0.00,0.00
csv_remove_row,0.00,0.00,0.00,0.00,0.00
csv_set_field,66.67,66.67,66.67,66.67,0.00
parse_hex4,81.25,81.25,81.25,81.25,0.00
parse_number,0.00,0.00,0.00,0.00,0.00
parse_string,0.00,0.00,0.00,0.00,0.00
