Mittel über Runs Line Coverage
Funktion,Run_1,Run_2,Run_3,Mittel,Std
cJSON_Compare,84.62,84.62,84.62,84.62,0.00
cJSON_Minify,95.83,95.83,87.50,93.05,4.81
compare_pointers,0.00,0.00,0.00,0.00,0.00
csv_clear_row,76.47,76.47,70.59,74.51,3.39
csv_get_field,93.75,93.75,93.75,93.75,0.00
csv_get_height,100.00,100.00,100.00,100.00,0.00
csv_insert_field,100.00,100.00,100.00,100.00,0.00
csv_remove_row,100.00,100.00,100.00,100.00,0.00
csv_set_field,0.00,0.00,0.00,0.00,0.00
parse_hex4,100.00,100.00,100.00,100.00,0.00
parse_number,84.09,84.09,84.09,84.09,0.00
parse_string,65.22,78.26,69.57,71.02,6.64
