Mittel über Runs Line Coverage
Funktion,Run_1,Run_2,Run_3,Mittel,Std
cJSON_Compare,75.00,75.00,75.00,75.00,0.00
cJSON_Minify,95.83,95.83,95.83,95.83,0.00
compare_pointers,0.00,0.00,0.00,0.00,0.00
csv_clear_row,0.00,0.00,0.00,0.00,0.00
csv_get_field,87.50,87.50,87.50,87.50,0.00
csv_get_height,100.00,100.00,100.00,100.00,0.00
csv_insert_field,0.00,0.00,0.00,0.00,0.00
csv_remove_row,0.00,0.00,0.00,0.00,0.00
csv_set_field,75.00,75.00,75.00,75.00,0.00
parse_hex4,100.00,100.00,100.00,100.00,0.00
parse_number,0.00,0.00,0.00,0.00,0.00
parse_string,0.00,0.00,0.00,0.00,0.00
